[1409] \Global\Bouncer\Behaviour\Idle\Hangout
[1069] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2\Decay
[1068] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2\Increment
[1070] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT3
[1072] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT3\Decay
[1071] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT3\Increment
[1073] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT4
[1075] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT4\Decay
[1074] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT4\Increment
[1076] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT5
[1078] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT5\Decay
[1077] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT5\Increment
[1079] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT6
[1081] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT6\Decay
[1080] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT6\Increment
[1082] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT7
[1084] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT7\Decay
[1083] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT7\Increment
[1085] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT8
[1087] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT8\Decay
[1086] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT8\Increment
[1088] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT9
[1089] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT9\Decay
[1090] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\Queries\DefaultDetectedActionConditions
[1091] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT0
[1092] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT0\Increment
[1093] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT1
[1095] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT1\Decay
[1094] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT1\Increment
[1096] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT2
[1098] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT2\Decay
[1097] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT2\Increment
[1099] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT3
[1101] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT3\Decay
[1100] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT3\Increment
[1102] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT4
[1104] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT4\Decay
[1103] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT4\Increment
[1105] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT5
[1107] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT5\Decay
[1106] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT5\Increment
[1108] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT6
[1110] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT6\Decay
[1109] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT6\Increment
[1111] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT7
[1113] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT7\Decay
[1112] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT7\Increment
[1114] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT8
[1116] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT8\Decay
[1115] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT8\Increment
[1117] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT9
[1118] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\GrabsAttempted\GT9\Decay
[1028] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\MasterSpawn
[1060] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\Queries\DefendHighActionReqRandomWeight
[1058] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\Queries\DefendLowActionReqRandomWeight
[1059] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\Queries\DefendMidActionReqRandomWeight
[1057] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\Queries\DefendNoneActionReqRandomWeight
[1029] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST0
[1030] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST0\Increment
[1031] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST1
[1033] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST1\Decay
[1032] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST1\Increment
[1034] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST2
[1036] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST2\Decay
[1035] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST2\Increment
[1037] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST3
[1039] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST3\Decay
[1038] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST3\Increment
[1040] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST4
[1042] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST4\Decay
[1041] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST4\Increment
[1043] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST5
[1045] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST5\Decay
[1044] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST5\Increment
[1046] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST6
[1048] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST6\Decay
[1047] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST6\Increment
[1049] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST7
[1051] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST7\Decay
[1050] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST7\Increment
[1052] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST8
[1054] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST8\Decay
[1053] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST8\Increment
[1055] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST9
[1056] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\StrikesAttempted\ST9\Decay
[1133] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\Ticker\AddCounter
[1132] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\Ticker\AddGrab
[1130] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\Ticker\AddStrikes
[1131] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\Ticker\AddStrikes\Tick
[1129] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\Ticker\AddTokenToPool
[1128] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T0
[1127] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T1
[1126] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T2
[1125] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T3
[1124] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T4
[1123] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T5
[1122] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T6
[1121] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T7
[1120] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T8
[1119] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\TokensAvailable\T9
[121] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle
[130] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\SetupTarget\FindVehicleAndSeat
[123] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour
[124] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Align
[128] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Jog
[127] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Run
[129] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\InteractionPointPathfind\Walk
[125] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterBike
[126] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Behaviour\Request\EnterVehicle\EnterVehicle
[122] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\ChaseInVehicle\FindVehicle\FindNearbyVehicle\Spawn\Wait
[975] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatIdle\Idle
[976] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatIdle\Idle\Stance\CombatStance
[977] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatIdle\Idle\Stance\Idle
[37] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\CombatShock_OLD\CombatShock
[31] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Downed
[33] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Grappled
[32] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Stunned
[39] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Gloat\GloatKnockdown
[38] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Gloat\GloatVictory
[34] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GroupIntimidate\Success
[35] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GroupIntimidate\Success\Flee
[41] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunFiredNearMe
[42] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunFiredNearMe\Speech
[43] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedAtMe
[44] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedNearMe
[45] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedNearMe\Speech
[36] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\Intimidated\Afraid
[29] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\JiangShiNapTime
[30] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\OnFire\SetFlee
[40] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\CombatReactions\ReactToAlliedHit
[268] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\Crouch
[267] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\GetToPositionToDefend\GetToPositionToDefend
[269] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\Idle\Idle
[173] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack
[183] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Default\Dummy
[181] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Default\InRange\Attack
[180] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Default\InRange\Defending
[182] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Default\MoveIn
[179] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Default\TargetNotAttackable
[184] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\Dummy
[178] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\MidRange\Dummy
[176] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\MidRange\InRange\Attack
[175] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\MidRange\InRange\Defending
[177] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\MidRange\MoveIn
[174] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\OpportunisticMeleeAttack\OpportunisticMeleeAttack\Attacks\MeleeAttack\MidRange\TargetNotAttackable
[264] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\Dummy
[229] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp
[256] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[257] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[259] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[260] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[258] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[253] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[254] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[255] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[247] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[248] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[249] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[261] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[262] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[263] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[250] \Global\Bouncer\Behaviour\Objectives\AttackTargetBehaviour\CombatSpawn\Behaviour\DefendPositionCrouched\RangedAttack\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
