[8543] \Global\CarAi\MasterSpawn
[8650] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[8651] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[8652] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringPistol
[8653] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringPistol\RangedAttackPistol
[8654] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[8646] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringShotgun
[8647] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringShotgun\RangedAttackShotgun
[8648] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\AIFireControl\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[8639] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\Shoot\CantShoot
[8637] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting
[8638] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting\Firing\Fire
[8640] \Global\CarAi\MasterSpawn\Passenger2\Aiming\AimingSpawns\FiringPattern\Waiting
[8636] \Global\CarAi\MasterSpawn\Passenger2\Aiming\FacingFront\Default
[8634] \Global\CarAi\MasterSpawn\Passenger2\Aiming\FacingRear\Boat
[8635] \Global\CarAi\MasterSpawn\Passenger2\Aiming\FacingRear\Default
[8655] \Global\CarAi\MasterSpawn\Passenger2\Idle
[8662] \Global\CarAi\MasterSpawn\Passenger3\Aiming\AimingSpawns\FiringPattern\Shoot\CantShoot
[8660] \Global\CarAi\MasterSpawn\Passenger3\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting
[8661] \Global\CarAi\MasterSpawn\Passenger3\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting\Firing\Fire
[8663] \Global\CarAi\MasterSpawn\Passenger3\Aiming\AimingSpawns\FiringPattern\Waiting
[8659] \Global\CarAi\MasterSpawn\Passenger3\Aiming\FacingFront\Default
[8657] \Global\CarAi\MasterSpawn\Passenger3\Aiming\FacingRear\Boat
[8658] \Global\CarAi\MasterSpawn\Passenger3\Aiming\FacingRear\Default
[8656] \Global\CarAi\MasterSpawn\Passenger3\CargoShove
[8664] \Global\CarAi\MasterSpawn\Passenger3\Idle
[8631] \Global\CarAi\MasterSpawn\Passenger\Aiming\AimingSpawns\FiringPattern\Shoot\CantShoot
[8629] \Global\CarAi\MasterSpawn\Passenger\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting
[8630] \Global\CarAi\MasterSpawn\Passenger\Aiming\AimingSpawns\FiringPattern\Shoot\Shooting\Firing\Fire
[8632] \Global\CarAi\MasterSpawn\Passenger\Aiming\AimingSpawns\FiringPattern\Waiting
[8627] \Global\CarAi\MasterSpawn\Passenger\Aiming\Boat
[8628] \Global\CarAi\MasterSpawn\Passenger\Aiming\Default
[8633] \Global\CarAi\MasterSpawn\Passenger\Idle
[8582] \Global\CarAi\MasterSpawn\Vehicle\Chase
[8584] \Global\CarAi\MasterSpawn\Vehicle\Chase\CarCombat\Moving\ToPitPosition
[8585] \Global\CarAi\MasterSpawn\Vehicle\Chase\CarCombat\Moving\ToShootingPosition
[8583] \Global\CarAi\MasterSpawn\Vehicle\Chase\CarCombat\Moving\ToSwipePosition
[8587] \Global\CarAi\MasterSpawn\Vehicle\Chase\CarCombat\Ramming\Pit
[8586] \Global\CarAi\MasterSpawn\Vehicle\Chase\CarCombat\Ramming\Swipe
[8545] \Global\CarAi\MasterSpawn\Vehicle\DriverDead
[8549] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\LockRandomGasBrake\Boat
[8550] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\LockRandomGasBrake\Default
[8547] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\LockRandomSteering\Boat\AttackerOnLeft
[8546] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\LockRandomSteering\Boat\AttackerOnRight
[8548] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\LockRandomSteering\Default
[8553] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\Stop
[8551] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\TripRoll\Boat
[8552] \Global\CarAi\MasterSpawn\Vehicle\DriverDead\TripRoll\Default
[8544] \Global\CarAi\MasterSpawn\Vehicle\EMP
[8609] \Global\CarAi\MasterSpawn\Vehicle\Escort
[8610] \Global\CarAi\MasterSpawn\Vehicle\Escort\MaybeAttackEnemy\Attacking
[8611] \Global\CarAi\MasterSpawn\Vehicle\Escort\MaybeAttackEnemy\NotAttacking
[8588] \Global\CarAi\MasterSpawn\Vehicle\Follow
[8554] \Global\CarAi\MasterSpawn\Vehicle\FormationChase
[8565] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\CustomFormation
[8566] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\Others
[8561] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\TestFormation
[8562] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\TestFormation\CarCombat\Moving\ToFrontSlot
[8563] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\TestFormation\CarCombat\Moving\ToFrontSlot2
[8564] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Thug\TestFormation\CarCombat\Moving\ToOtherSlot
[8559] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\CustomFormation
[8560] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\Others
[8555] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\TestFormation
[8557] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\TestFormation\CarCombat\Moving\ToBehindSlot
[8556] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\TestFormation\CarCombat\Moving\ToFrontSlot
[8558] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\BoatFormations_Zodiac\TestFormation\CarCombat\Moving\ToOtherSlot
[8567] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation
[8569] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation\CarCombat\Moving\ToBesideSlot
[8570] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation\CarCombat\Moving\ToFollow
[8568] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation\CarCombat\Moving\ToFrontSlot
[8571] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation\CarCombat\Ramming\Block
[8572] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\BoxFormation\CarCombat\Ramming\Swipe
[8580] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\CustomFormation
[8581] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\Others
[8573] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\RollingRoadBlock
[8576] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\RollingRoadBlock\CarCombat\Moving\ToFollow
[8575] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\RollingRoadBlock\CarCombat\Moving\ToFrontCornerSlot
[8574] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\RollingRoadBlock\CarCombat\Moving\ToFrontSlot
[8577] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\RollingRoadBlock\CarCombat\Ramming\Block
[8578] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\SingleCar
[8579] \Global\CarAi\MasterSpawn\Vehicle\FormationChase\Bank\CarFormations\SingleCar\CarCombat\Moving\ToAssigned
[8589] \Global\CarAi\MasterSpawn\Vehicle\Goto
[8606] \Global\CarAi\MasterSpawn\Vehicle\Race
[8607] \Global\CarAi\MasterSpawn\Vehicle\Race\RaceCombat\Moving\ToSwipePosition
[8608] \Global\CarAi\MasterSpawn\Vehicle\Race\RaceCombat\Ramming\Swipe
[8605] \Global\CarAi\MasterSpawn\Vehicle\StopAt
[8602] \Global\CarAi\MasterSpawn\Vehicle\Stop\0xBEA87850\SteerLeft
[8601] \Global\CarAi\MasterSpawn\Vehicle\Stop\0xBEA87850\SteerRight
[8604] \Global\CarAi\MasterSpawn\Vehicle\Stop\Stop
[8603] \Global\CarAi\MasterSpawn\Vehicle\Stop\Taxi\TaxiWait
[8590] \Global\CarAi\MasterSpawn\Vehicle\Wander
[8591] \Global\CarAi\MasterSpawn\Vehicle\Wander\GotShot
[8592] \Global\CarAi\MasterSpawn\Vehicle\Wander\GotShot\GetOutOfCar
[8599] \Global\CarAi\MasterSpawn\Vehicle\Wander\Reaction\BikeOrScooter\WitnessAccident
[8600] \Global\CarAi\MasterSpawn\Vehicle\Wander\Reaction\BikeOrScooter\WitnessAccident\Driver
[8593] \Global\CarAi\MasterSpawn\Vehicle\Wander\Taxi\StopAtStimulus
[8594] \Global\CarAi\MasterSpawn\Vehicle\Wander\Taxi\StopImmediately
[8598] \Global\CarAi\MasterSpawn\Vehicle\Wander\Traffic\NoTraffic
[8595] \Global\CarAi\MasterSpawn\Vehicle\Wander\Traffic\TrafficJam
[8596] \Global\CarAi\MasterSpawn\Vehicle\Wander\Traffic\TrafficJam\Honk
[8597] \Global\CarAi\MasterSpawn\Vehicle\Wander\Traffic\TrafficJam\ToggleTemporarySteerAround
