[6093] \Global\PlayerAI\Audio
[5341] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\MeAndTargetOnFoot\Follow
[5328] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Dummy
[5293] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp
[5320] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[5321] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[5323] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[5324] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[5322] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[5317] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[5318] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[5319] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[5311] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[5312] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[5313] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[5325] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[5326] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[5327] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[5314] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[5315] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[5316] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[5303] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[5304] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[5306] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[5307] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[5305] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[5300] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[5301] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[5302] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[5294] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[5295] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[5296] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[5308] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[5309] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[5310] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[5297] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[5298] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[5299] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[5330] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[5329] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[5273] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\ChaseTarget
[5272] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetInVehicle\Driver\Others\WaitInsideVehicle
[5270] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Attack
[5271] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetInVehicle\Passenger\Others\Idle
[5282] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\DriveNear
[5283] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\DriveNear\WaitBriefly
[5284] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped
[5285] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitBike
[5286] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle
[5290] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\EndExit
[5289] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\FoundCover
[5287] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover
[5288] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\ExitVehicle\TakeCoverOnDoor\SearchForCover\CoverSearch
[5291] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\VehicleStopped\ExitVehicle\InvalidVehicle
[5292] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\ExitVehicle\Wait
[5277] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriveNear
[5276] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\InWater\DriverAttack
[5274] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Attack
[5275] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\InWater\Passenger\Idle
[5278] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\Passenger\DeadOrNoDriver
[5279] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\Passenger\PartnerDriving
[5281] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\Passenger\VehicleStopped
[5280] \Global\PlayerAI\Objectives\Follow\Follow\FreemanCrashesWithoutThisBank\Follow\VehicleBehaviour\TargetOnFoot\Passenger\WaitInVehicle
[5342] \Global\PlayerAI\Objectives\Follow\Follow\LeapOfFaithTrigger
[5343] \Global\PlayerAI\Objectives\Follow\Follow\LeapOfFaithTrigger\Exit
[5344] \Global\PlayerAI\Objectives\PathfindToPointWithBreakout\PathfindToAIObjective
[5345] \Global\PlayerAI\Objectives\PathfindToPointWithBreakout\PathfindToAIObjective\Exit
[5347] \Global\PlayerAI\Objectives\PathfindToPointWithBreakout\PathfindToAIObjective\SprintManager\Idle
[5346] \Global\PlayerAI\Objectives\PathfindToPointWithBreakout\PathfindToAIObjective\SprintManager\Sprinting
[5348] \Global\PlayerAI\PathfindToSelectedObject\Move
[5349] \Global\PlayerAI\PathfindToSelectedObject\Stop
[5228] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands
[5263] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\0xDD162514\0x5A93193E
[5264] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\0xDD162514\0x5A93193E\GrappleBreak
[5245] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks
[5248] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\5HitCounter
[5249] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\CommitAttack
[5246] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\CounterAttack
[5247] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\BlockAttacks\Interrupt
[5250] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\AutoBlock\Defenseless
[5239] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered
[5240] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered\EnemyType\Elite_Recovered
[5241] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Countered\EnemyType\Recovered
[5230] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Downed
[5236] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike
[5237] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike\EnemyType\Elite_Recovered
[5238] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\GrappleStrike\EnemyType\Recovered
[5234] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Default
[5235] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Default\Recover
[5231] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi
[5233] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi\Recover\0x55BE05A8
[5232] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Disabled\Stunned\Jiangshi\Recover\delayed
[5244] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\Defenseless
[5242] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\DodgeAttacks
[5243] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Dodge\DodgeAttacks\CounterAttack
[5251] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\0x32103B5D
[5253] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\0x8BF68186
[5252] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0x8BF68186\GrappleBreak
[5254] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\DLC_Ghost\Jiangshi\0xDDC70216
[5262] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Defenseless
[5255] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\0x3B383EF4
[5256] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\GrappleBreak
[5258] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x15F37294
[5259] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x42D4BF8E
[5261] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0x934264D2
[5260] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Queries\0xE7885106
[5257] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Grapple\Success\Wait
[5265] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\Defense\Wait
[5266] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\CastingHandles
[5267] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\CastingHandles\CastSpawn
[5268] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\DynamicWallHandle\Idle
[5229] \Global\PlayerAI\PerformScriptCommands\PerformScriptCommands\ExecuteScriptCommands
[5464] \Global\PlayerAI\Root
[6089] \Global\PlayerAI\Root\0x4085316A\0x28CBBDFA
[6091] \Global\PlayerAI\Root\0x4085316A\0x3AC320FE
[6090] \Global\PlayerAI\Root\0x4085316A\inCombat
[6092] \Global\PlayerAI\Root\0x45EA91FC\0x94D06D0C
[6064] \Global\PlayerAI\Root\0xA208F708\DrunkenStyleActive
[6065] \Global\PlayerAI\Root\0xA208F708\Idle
[5835] \Global\PlayerAI\Root\AccuracyHandler\Aiming\MovingAimIntention
[5836] \Global\PlayerAI\Root\AccuracyHandler\Aiming\MovingCharacter
[5837] \Global\PlayerAI\Root\AccuracyHandler\Default
[6073] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x3EFDD80B\Active
[6075] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x3EFDD80B\Active\0xC3819E41\0x28CBBDFA
[6076] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x3EFDD80B\Active\0xC3819E41\0xBC0349DA
[6074] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x3EFDD80B\Active\0xC3819E41\inCombat
[6079] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x6B0A1A54\Active
[6080] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0x98022060\Active
[6081] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\0xD0B32FAD\Active
[6082] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\Default
[6077] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\DrunkenEquipped\Active
[6078] \Global\PlayerAI\Root\AnimationLoadHandler\0x137599C4\DrunkenEquipped\Inactive
[6085] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\0x23FDCF15
[6084] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\0x5F08CD82
[6088] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\Default
[6083] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\DeusExRifle
[6086] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\TaichiSword
[6087] \Global\PlayerAI\Root\AnimationLoadHandler\0x32DD8ACA\TearGas
[6066] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Grappling
[6067] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Idle
[6071] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Spawns\Trunking\Close\Car
[6070] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Spawns\Trunking\Close\Van
[6072] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Spawns\Trunking\Idle
[6068] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Spawns\Trunking\VeryClose\Car
[6069] \Global\PlayerAI\Root\AnimationLoadHandler\GrapplingAndTrunking\Spawns\Trunking\VeryClose\Van
[5750] \Global\PlayerAI\Root\AttackRights\Attackable
[5744] \Global\PlayerAI\Root\AttackRights\NotAttackable\CombatProps
[5745] \Global\PlayerAI\Root\AttackRights\NotAttackable\Counters
[5749] \Global\PlayerAI\Root\AttackRights\NotAttackable\Fake
[5748] \Global\PlayerAI\Root\AttackRights\NotAttackable\ForcedWalk
[5746] \Global\PlayerAI\Root\AttackRights\NotAttackable\Grapple
[5747] \Global\PlayerAI\Root\AttackRights\NotAttackable\Social
[5743] \Global\PlayerAI\Root\AttackRights\NotAttackable\VehicleEntry
[5724] \Global\PlayerAI\Root\AutoPickup\Pickup\AmmoCompatible
[5727] \Global\PlayerAI\Root\AutoPickup\Pickup\AutoPickup
[5726] \Global\PlayerAI\Root\AutoPickup\Pickup\Money
[5725] \Global\PlayerAI\Root\AutoPickup\Pickup\StowedAmmoCompatible
[6035] \Global\PlayerAI\Root\ButtonHandlers\0xAE51F4F2\ChargeActions\OppsToRestart
[6033] \Global\PlayerAI\Root\ButtonHandlers\0xAE51F4F2\ChargeActions\OppsToTap
[6034] \Global\PlayerAI\Root\ButtonHandlers\0xAE51F4F2\ChargeActions\OppsToWaitUntilReleased
[6021] \Global\PlayerAI\Root\ButtonHandlers\0xAE51F4F2\ChargeActions\Vehicle\Boat\Available
[6013] \Global\PlayerAI\Root\ButtonHandlers\0xAE51F4F2\ChargeActions\Vehicle\Boat\Charge
