[6195] \Global\Thug\MasterSpawn
[8487] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\NotifyGroup\GroupMemberScaredByWeapon
[8499] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\Conditions\PairedWalk
[8497] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\Conditions\StartTalking
[8498] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\Conditions\StopTalking
[8496] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\NoPair
[8488] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnLeft
[8490] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnLeft\Talk
[8491] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnLeft\Talk\Exit
[8489] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnLeft\Walk
[8492] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnRight
[8494] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnRight\Talk
[8495] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnRight\Talk\Exit
[8493] \Global\Thug\MasterSpawn\Actions\FormationBehaviour\Spawns\PairedBehaviour\OnRight\Walk
[8308] \Global\Thug\MasterSpawn\Actions\GunPointedAtMe\GunPointedAtMe
[8331] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn
[8332] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Behaviour\BackAway
[8333] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Behaviour\LookAt\AwareIdle
[8335] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Behaviour\LookAt\Curious
[8334] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Behaviour\LookAt\PointAt
[8337] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Dialogue\Idle
[8336] \Global\Thug\MasterSpawn\Actions\GunPointedNearMeReaction\MasterSpawn\Dialogue\Speaking
[8326] \Global\Thug\MasterSpawn\Actions\GunShotCloseReaction\Flinch
[8298] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleFar\VehicleOnRoad\SelfOnRoad\RunFromTarget
[8297] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleFar\VehicleOnSidewalk\Curious
[8296] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleFar\VehicleOnSidewalk\PointAt
[8295] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleFar\VehicleOnSidewalk\RunLaterally
[8294] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnRoad\RunAway
[8293] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnRoad\SelfOnRoad\DiveAway
[8289] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnSidewalk\Old\Cower
[8288] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnSidewalk\Old\ShieldSelf
[8291] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnSidewalk\Young\Cower
[8292] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnSidewalk\Young\CrouchCower
[8290] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleMed\VehicleOnSidewalk\Young\DiveAway
[8287] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleNear\VehicleOnRoad\RunAway
[8285] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleNear\VehicleOnSidewalk\Old\ShieldSelf
[8286] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\AvoidDangerousVehicle\StimulusBank\DangerousVehicleNear\VehicleOnSidewalk\Young\DiveAway
[8284] \Global\Thug\MasterSpawn\Actions\HighPriorityReactions\OnFire\SetFlee
[8501] \Global\Thug\MasterSpawn\Actions\HornReaction\Aware
[8526] \Global\Thug\MasterSpawn\Actions\Idle
[6196] \Global\Thug\MasterSpawn\Actions\InactiveStates\Arrested
[6198] \Global\Thug\MasterSpawn\Actions\InactiveStates\Dead
[6197] \Global\Thug\MasterSpawn\Actions\InactiveStates\Trunked
[8309] \Global\Thug\MasterSpawn\Actions\JoinInAttacking\TurnToFace
[8310] \Global\Thug\MasterSpawn\Actions\JoinInAttacking\TurnToFace\JoinInAttacking
[8322] \Global\Thug\MasterSpawn\Actions\LazyScripterNotTellingThugToAttack\Hostile\HostileAttackMelee
[8321] \Global\Thug\MasterSpawn\Actions\LazyScripterNotTellingThugToAttack\Hostile\TurnToFace
[8329] \Global\Thug\MasterSpawn\Actions\MeleeFightCombatantReaction\SetDefend
[8330] \Global\Thug\MasterSpawn\Actions\MeleeFightCombatantReaction\SetDefend\Dialogue\Dialogue1
[7525] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn
[7527] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\AttackRightsBonuses\Attacked
[7526] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\AttackRightsBonuses\HitStun
[7542] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\CombatShock\CombatShock
[7536] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Downed
[7538] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Grappled
[7537] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Disabled\Stunned
[7544] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Gloat\GloatKnockdown
[7543] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Gloat\GloatVictory
[7539] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GroupIntimidate\Success
[7540] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GroupIntimidate\Success\Flee
[7546] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunFiredNearMe
[7547] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunFiredNearMe\Speech
[7548] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedAtMe
[7549] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedNearMe
[7550] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\GunReactions\ReactToGunPointedNearMe\Speech
[7541] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\Intimidated\Afraid
[7535] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\OnFire\SetFlee
[7545] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\CombatReactions\ReactToAlliedHit
[7528] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat
[7532] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\CombatEntry
[7533] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\CombatEntry\Dialogue
[7529] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\DrawPistol
[7530] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\DrawPistol\Dialogue
[7531] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\SkipCombatEntry
[7534] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\EnterCombat\ActionRequest\Wait
[7555] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\Idle
[7591] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Dummy
[7556] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp
[7583] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic
[7584] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[7586] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[7587] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[7585] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[7580] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun
[7581] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[7582] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[7574] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher
[7575] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[7576] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[7588] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol
[7589] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol
[7590] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[7577] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun
[7578] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun
[7579] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireFar\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[7566] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic
[7567] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic
[7569] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\FireWeapon
[7570] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\TriggerPulled\Wait
[7568] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringAutomatic\RangedAttackAutomatic\WaitAfterFiringAutomatic
[7563] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun
[7564] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun
[7565] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringCombatShotgun\RangedAttackCombatShotgun\WaitAfterFiringCombatShotgun
[7557] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher
[7558] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher
[7559] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringGrenadeLauncher\RangedAttackGrenadeLauncher\WaitAfterFiringGrenadeLauncher
[7571] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol
[7572] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol
[7573] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringPistol\RangedAttackPistol\WaitAfterFiringPistol
[7560] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun
[7561] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun
[7562] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\StandUp\Range\FireNear\WaitBeforeFiringShotgun\RangedAttackShotgun\WaitAfterFiringShotgun
[7593] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AlwaysMiss
[7592] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\PRIVATE_SharedBank\ShootFromVehicle\RangedAttack\Util\AttackRightsSpawn\AttackRightsAcquired
[7553] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\TargetInVehicle\Driver\Attack
[7554] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\TargetInVehicle\Driver\Idle
[7551] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\TargetInVehicle\Passenger\Attack
[7552] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\Behaviour\TargetInVehicle\Passenger\Idle
[7599] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\DLC_Ghost\EliteGhoul
[7600] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\Default
[7597] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\Defending\BlockAfterCombo
[7596] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\Defending\Brawler
[7595] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\Defending\CounterReady
[7598] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\CombatStance\Defending\RecentlyAttacked
[7594] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\CombatSpawn\GunFightStimulus
[7524] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\LostTarget
[7601] \Global\Thug\MasterSpawn\Actions\Objectives\AttackInScriptedVehicleBehaviour\WaitForRandomStartTime
[6401] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn
[6412] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\Attacked
[6409] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\EliteGhoul
[6410] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\EliteGhoul\Release
[6413] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\Grappled
[6411] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\AttackRightsBonuses\HitStun
[7446] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0
[7448] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0\Decay
[7447] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT0\Increment
[7449] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1
[7451] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1\Decay
[7450] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT1\Increment
[7452] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2
[7454] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2\Decay
[7453] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT2\Increment
[7455] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT3
[7457] \Global\Thug\MasterSpawn\Actions\Objectives\AttackTargetBehaviour\CombatSpawn\BehaviourWeighting\CountersAttempted\CT3\Decay
