[20350] \Global\Scooter\Interactions\MasterSpawn
[20526] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\HighSpeed\PreReactionControl\Entering
[20527] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\HighSpeed\PreReactionControl\Exiting
[20518] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\HitFront
[20517] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\HitLeft
[20515] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\HitRear
[20516] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\HitRight
[20514] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\PreReactionControl\Dying
[20512] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\PreReactionControl\Entering
[20513] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\LowSpeed\PreReactionControl\Exiting
[20525] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\HitFront
[20524] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\HitLeft
[20522] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\HitRear
[20523] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\HitRight
[20521] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\PreReactionControl\Dying
[20519] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\PreReactionControl\Entering
[20520] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Bump\MediumSpeed\PreReactionControl\Exiting
[20649] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\CrashFront
[20650] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\CrashFront\Ragdoll
[20511] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Default
[20507] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\HitFront
[20508] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\HitLeft
[20510] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\HitRear
[20509] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\HitRight
[20506] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\KnockOff\Ragdoll\HitBack
[20503] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\KnockOff\Ragdoll\HitFront
[20505] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\KnockOff\Ragdoll\HitLeft
[20504] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\HitReact\KnockOff\Ragdoll\HitRight
[20500] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\Dead\Back
[20497] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\Dead\Front
[20499] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\Dead\Left
[20498] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\Dead\Right
[20501] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\Default\Back
[20502] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Ragdoll\TirePopFromVehicleHitTree\Default
[20493] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Speed\Dead
[20494] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Speed\SpeedA
[20495] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Speed\SpeedB
[20496] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Knockout\Speed\SpeedC
[20491] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\RemoveDriver\FallOffForward
[20492] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\RemoveDriver\FallOffForward\Ragdoll
[20533] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ExecuteLibrary\DetachToRagdoll
[20594] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactApplyDamage\HeavyDamage\Default
[20593] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactApplyDamage\HeavyDamage\isElite
[20591] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactApplyDamage\LightDamage
[20592] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactApplyDamage\MediumDamage
[20547] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryCloseShotPlayer\TargetAlive
[20543] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryCloseShot\TargetAlive
[20541] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryCloseShot\TargetKOd\FinalTarget
[20542] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryCloseShot\TargetKOd\Knockout
[20536] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryGrapplePunch\TargetAlive
[20534] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryGrapplePunch\TargetKOd\FinalTarget
[20535] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryGrapplePunch\TargetKOd\Knockout
[20546] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryHitReaction\TargetAlive
[20544] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryHitReaction\TargetKOd\FinalTarget
[20545] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryHitReaction\TargetKOd\Knockout
[20539] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryWithLook\TargetAlive
[20537] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryWithLook\TargetKOd\FinalTarget
[20538] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryWithLook\TargetKOd\Knockout
[20540] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactCategoryWithLook\Utility\ExitForRangedCombat
[20559] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Heavy\Default
[20557] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Heavy\FinalTarget
[20558] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Heavy\KnockedOut
[20553] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Light\Default
[20551] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Light\FinalTarget
[20552] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Light\KnockedOut
[20563] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Look\FinalTargetLook
[20564] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Look\KnockedOutLook
[20556] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Medium\Default
[20554] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Medium\FinalTarget
[20555] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\Medium\KnockedOut
[20562] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryHeavy\Default
[20560] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryHeavy\FinalTarget
[20561] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryHeavy\KnockedOut
[20550] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryLight\Default
[20548] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryLight\FinalTarget
[20549] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactEffect\VeryLight\KnockedOut
[20580] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Heavy\Default
[20577] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Heavy\FinalTarget
[20579] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Heavy\KnockedOut
[20578] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Heavy\KnockedOutWithFace
[20572] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Light\Default
[20569] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Light\FinalTarget
[20571] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Light\KnockedOut
[20570] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Light\KnockedOutWithFace
[20585] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Look\FinalTargetLook
[20587] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Look\KnockedOutLook
[20586] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Look\KnockedOutWithFaceLook
[20588] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Look\OLD_FinalTargetLook
[20576] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Medium\Default
[20573] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Medium\FinalTarget
[20575] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Medium\KnockedOut
[20574] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\Medium\KnockedOutWithFace
[20584] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryHeavy\Default
[20581] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryHeavy\FinalTarget
[20583] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryHeavy\KnockedOut
[20582] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryHeavy\KnockedOutWithFace
[20568] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryLight\Default
[20565] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryLight\FinalTarget
[20567] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryLight\KnockedOut
[20566] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactFinalEffect\VeryLight\KnockedOutWithFace
[20589] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactKOSlowMo\KOFaceSlowMo
[20590] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\ImpactKOSlowMo\KOSlowMo
[20595] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Queries\DeadHPCheck
[20598] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Queries\HeavyDamageHPCheck
[20596] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Queries\LightDamageHPCheck
[20597] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Queries\MediumDamageHPCheck
[20601] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\AcquireRagdoll
[20600] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\AcquireRagdollKeyframe
[20599] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\AcquireRagdollKeyframe0Velo
[20602] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\AcquireRagdollLowVelo
[20610] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\ImpulseRagdoll
[20611] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\MurderRagdoll\Dead
[20612] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\MurderRagdoll\Dead\GroundHit
[20603] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollAirCycle\RagdollAirCycle
[20604] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollAirCycle\RagdollAirCycle\RagdollGroundHit
[20605] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollHeadWrithe
[20608] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollHeadWrithe\Anims\Alive
[20607] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollHeadWrithe\Anims\Dead\FaceDown
[20606] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollHeadWrithe\Anims\Dead\FaceUp
[20609] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RagdollModeChange\RagdollKO
[20613] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\RecoverRagdoll
[20643] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\BallisticGrav\Off
[20644] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\BallisticGrav\On
[20648] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\BreakOut\Default
[20647] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\BreakOut\IsPlayer
[20646] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\ConditionalRelease\Default
[20645] \Global\Scooter\Interactions\MasterSpawn\Vehicle\Ride\HitTree\Utility\ImpactDamageEffect\Ragdoll\Utility\ConditionalRelease\IsPlayer
